scan,method,variant,threshold_value,vessel_id,volume_voxels,length_mm,overlap_voxels,corresponding_ids,n_corresponding
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,1,1167,0.4200000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,2,653,0.11400000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,3,2517,0.5940000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,4,996,0.10800000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,5,2336,0.6120000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,6,699,0.32400000000000007,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,7,470,0.11400000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,8,24,0.0,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,9,9,0.018000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,10,234,0.11400000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,11,973,0.30600000000000005,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,12,597,0.21000000000000005,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,13,912,0.21600000000000003,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,14,1,0.0,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,15,72,0.030000000000000006,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,16,481,0.08400000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,17,308,0.11400000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,18,53,0.030000000000000006,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,19,1190,0.3960000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,20,69,0.024000000000000004,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,21,176,0.04800000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,22,3215,0.558,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,23,4339,0.6120000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,24,18,0.0,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,25,694,0.30600000000000005,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,26,33,0.030000000000000006,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,27,1384,0.36600000000000005,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,28,592,0.24000000000000005,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,29,125,0.04200000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,30,33,0.018000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,31,1848,0.6120000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,32,38,0.012000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,33,41,0.018000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,34,1391,0.36000000000000004,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,35,1212,0.4020000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,36,15,0.0,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,37,2243,0.5280000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,38,55,0.018000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,39,462,0.18600000000000003,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,40,19,0.04200000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,41,27,0.024000000000000004,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,42,355,0.054000000000000006,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,43,351,0.13200000000000003,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,44,1401,0.30600000000000005,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,45,83,0.10200000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,46,85,0.054000000000000006,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,47,213,0.07800000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,48,85,0.09000000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,49,31551,5.652000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,50,12,0.024000000000000004,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,51,542,0.12600000000000003,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,52,26,0.012000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,53,76,0.024000000000000004,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,54,3116,0.7080000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,55,27,0.018000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,56,9,0.018000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,57,9,0.018000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,58,202,0.09600000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,59,34,0.04800000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,60,341,0.09000000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,61,217,0.06600000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,62,45,0.036000000000000004,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,63,98,0.06600000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,64,45,0.024000000000000004,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,65,58,0.012000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,66,9,0.018000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,67,18,0.012000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,68,2005,0.6060000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,69,18,0.0,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,70,680,0.16800000000000004,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,71,55,0.018000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,72,2039,0.7680000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,73,96,0.036000000000000004,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,74,1320,0.6240000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,75,972,0.27,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,76,234,0.12000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,77,1249,0.3360000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,78,119,0.012000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,79,334,0.13200000000000003,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,80,88,0.054000000000000006,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,81,94,0.06000000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,82,18,0.012000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,83,143,0.06000000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,84,125,0.06000000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,85,161,0.0,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,86,42,0.018000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,87,30,0.030000000000000006,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,88,9,0.018000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,89,159,0.030000000000000006,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,90,35,0.024000000000000004,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,91,9,0.018000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,92,363,0.06600000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,93,380,0.08400000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,94,726,0.34800000000000003,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,95,1020,0.30600000000000005,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,96,1859,0.45000000000000007,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,97,72,0.04200000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,98,8417,1.2060000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,99,132,0.054000000000000006,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,100,53,0.024000000000000004,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,101,34,0.030000000000000006,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,102,1511,0.23400000000000004,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,103,24,0.012000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,104,176,0.06000000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,105,35,0.0,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,106,189,0.07200000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,107,197,0.036000000000000004,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,108,166,0.04200000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,109,9,0.018000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,110,15,0.018000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,111,77,0.030000000000000006,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,112,1464,0.39000000000000007,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,113,110,0.04200000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,114,86,0.018000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,115,84,0.012000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,116,162,0.06600000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,117,88,0.04200000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,118,177,0.04800000000000001,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,119,32,0.036000000000000004,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,120,850,0.28200000000000003,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,121,392,0.20400000000000004,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,122,367,0.16800000000000004,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,123,9,0.018000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,124,1913,0.37200000000000005,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,125,412,0.17400000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,126,27,0.018000000000000002,0,,0
SLICES_CA-RU-R_x_916_y_901_z_222_experiment,ground_truth,,,127,498,0.18000000000000002,0,,0
